Label,Sentence
NonSense,The reunion was a dentist's canary.
NonSense,The generation was her magazine's ipod.
NonSense,Her laughter was pure eyes.
NonSense,The pregnant woman was an added kettle.
NonSense,the incriminators were powerful camels.
NonSense,The alcohol was a rock soldier.
NonSense,The date was a bus.
NonSense,The occasion is the catapult radio.
NonSense,I was editing preserved chicken worms.
NonSense,The reading was the liquid landfill.
NonSense,The birthday was a sliding champagne.
NonSense,The esteem novel was a square.
NonSense,The corrosive counter was a secret moment.
NonSense,The company is a parachute bench.
NonSense,The banker's opinion was a greenhouse.
NonSense,The donor was an acute chicken.
NonSense,His health was a trunk of ass.
NonSense,The image jump was a file.
NonSense,He was adopted as a marijuana.
NonSense,The storm was a logistic key.
NonSense,Her birthday was a foreboding chimes .
NonSense,Her eyes were pure gavel .
NonSense,Her haircut is a good gunfire .
NonSense,Her hips were a snake-charmer 's carousel .
NonSense,Her limousine was a privileged gavel .
NonSense,Her opinion was a pendulum huff .
NonSense,Her smile was a cat 's chuckle .
NonSense,Her stare was a bull mouse .
NonSense,His analysis was a targeted racehorse .
NonSense,His arrival was a shrill seesaw .
NonSense,His daily meds were a chorus .
NonSense,His first screenplay was slug .
NonSense,His handshake was a traffic .
NonSense,His interest was a mere sled .
NonSense,His job was an endless dash .
NonSense,His memoirs were a toilet wheel .
NonSense,His novel was a resounding cheetah .
NonSense,His poor health was a tornado .
NonSense,His posture was a cat 's wheel .
NonSense,His tie choice is a drift .
NonSense,The gossipy coworker was a sled .
NonSense,The anniversary was a champagne dart .
NonSense,The apology was a dice roll .
NonSense,The artist 's ideas were a tug .
NonSense,The bank 's letter was an escalator .
NonSense,The billboard was an outraged lullaby .
NonSense,The breakthrough was tailspin .
NonSense,The budget was a whisper .
NonSense,The caffeine headache was an applause .
NonSense,The candidate was a liberal clock .
NonSense,The card was a sympathetic faucet .
NonSense,The ceremony was a swamp clatter .
NonSense,The coffee was a caffeine curtain .
NonSense,The cool breeze was a canary .
NonSense,The coordinator 's presence was a cartwheel .
NonSense,The date was a successful rooster .
NonSense,The decorations were an added ambulance .
NonSense,The demo tape was a shy landslide .
NonSense,The dress was a revealing amplifier .
NonSense,The email was a desperate cough .
NonSense,The email was an icy plod .
NonSense,The eviction was a mean metronome .
NonSense,The fan mail was a gazelle .
NonSense,The first date was a sweep .
NonSense,The flowers were a widow 's turtle .
NonSense,The garden flowers were a gospel cough .
NonSense,The incriminating files were a poison drum .
NonSense,The love letters were fading chainsaw .
NonSense,The mural was a colorful slither .
NonSense,The new computer was a geyser .
NonSense,The numbers were a brain ipod .
NonSense,The pamphlet is a piano .
NonSense,The paycheck was a hammer .
NonSense,The petition was a mad gazelle .
NonSense,The pregnant woman was a boiling canter .
NonSense,The pricey laptop was a zigzag .
NonSense,The prize money was a blizzard .
NonSense,The purchase was a tiger seesaw .
NonSense,The questions were a dentist 's wander .
NonSense,The rainstorm was a logistical rattlesnake .
NonSense,The road was an irresistible thud .
NonSense,The settlement was a smooth siren .
NonSense,The shadow was a dutiful stumble .
NonSense,The student was a shooting sail .
NonSense,The summer vacation was a wail .
NonSense,The sunset was a lover 's jackhammer .
NonSense,The taxes was a steady hug .
NonSense,The therapy was an archeological laughter .
NonSense,The tumor was a ticking lullaby .
NonSense,The unhappy customer was a melody .
NonSense,The wallet was a leaky pager .
NonSense,The writer 's job is a lonely skewer .
NonSense,Their courtship was a bashful racehorse .
NonSense,Their memories were a distant snort .
NonSense,Her eager smile cried for fresh paint .
NonSense,Her foot fizzled after the first course .
NonSense,Her tacky shirt snorted at the large suitcase .
NonSense,His bad knee droned for many pages .
NonSense,His feet called to the fisherman .
NonSense,His license flew between the lovers .
NonSense,His sore legs buzzed in his ears .
NonSense,The bright colors chirped at her name .
NonSense,The cruise ship whirred in his skull .
NonSense,The date bleated for an iron .
NonSense,The fine wiggled out of the charming driver.
NonSense,The garlic sighed over the riots .
NonSense,The headline argued with the paisley shirt .
NonSense,The hem of his trousers raced through the romance novel .
NonSense,The invitation howled through the last mile .
NonSense,The liquor chuckled at the cute note .
NonSense,The magazine wandered through the patient.
NonSense,The oil bill cooed to the teenager .
NonSense,The page whirled across the letters.
NonSense,The promised money blurted out its true age .
NonSense,The scale moaned for a massage .
NonSense,The school yowled at the spice .
NonSense,The surgeon swarmed across the mural .
NonSense,The unpaid bills clicked with the new neighbor .
NonSense,The wrinkled shirt gasped in the glass slipper .
NonSense,The building bounced through the party .
